"","lhs","","rhs","support","confidence","lift"
"[1]139","{breathes=TRUE,domestic=TRUE}","=>","{aquatic=FALSE}",0.118811881188119,1,1.55384615384615
"[2]134","{backbone=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.108910891089109,1,1.55384615384615
"[3]119","{predator=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.376237623762376,0.926829268292683,1.44015009380863
"[4]113","{eggs=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.356435643564356,0.878048780487805,1.36435272045028
"[5]114","{breathes=TRUE,fins=FALSE}","=>","{aquatic=FALSE}",0.633663366336634,0.842105263157895,1.3085020242915
"[6]110","{feathers=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.495049504950495,0.833333333333333,1.29487179487179
"[7]15","{breathes=TRUE,legs=TRUE}","=>","{aquatic=FALSE}",0.594059405940594,0.821917808219178,1.27713382507903
"[8]14","{breathes=TRUE,catsize=FALSE}","=>","{aquatic=FALSE}",0.326732673267327,0.804878048780488,1.25065666041276
"[9]14","{airborne=FALSE,breathes=TRUE}","=>","{aquatic=FALSE}",0.445544554455446,0.803571428571429,1.24862637362637
"[4]25","{toothed=TRUE}","=>","{hair=TRUE}",0.376237623762376,0.622950819672131,1.46321006481128
"[1]50","{eggs=TRUE,toothed=TRUE}","=>","{hair=FALSE}",0.198019801980198,1,1.74137931034483
"[2]44","{milk=FALSE,toothed=TRUE}","=>","{hair=FALSE}",0.207920792079208,1,1.74137931034483
"[1]140","{eggs=TRUE,toothed=TRUE}","=>","{hair=FALSE}",0.198019801980198,1,1.74137931034483
"[2]135","{milk=FALSE,toothed=TRUE}","=>","{hair=FALSE}",0.207920792079208,1,1.74137931034483
"[1]51","{milk=FALSE,backbone=TRUE}","=>","{hair=FALSE}",0.415841584158416,1,1.74137931034483
"[2]45","{eggs=TRUE,backbone=TRUE}","=>","{hair=FALSE}",0.405940594059406,0.976190476190476,1.69991789819376
"[3]32","{toothed=FALSE,backbone=TRUE}","=>","{hair=FALSE}",0.207920792079208,0.954545454545455,1.66222570532915
"[4]26","{airborne=TRUE,backbone=TRUE}","=>","{hair=FALSE}",0.158415841584158,0.888888888888889,1.54789272030651
"[5]25","{backbone=TRUE,catsize=FALSE}","=>","{hair=FALSE}",0.306930693069307,0.775,1.34956896551724
"[1]141","{milk=FALSE,backbone=TRUE}","=>","{hair=FALSE}",0.415841584158416,1,1.74137931034483
"[2]136","{eggs=TRUE,backbone=TRUE}","=>","{hair=FALSE}",0.405940594059406,0.976190476190476,1.69991789819376
"[3]120","{toothed=FALSE,backbone=TRUE}","=>","{hair=FALSE}",0.207920792079208,0.954545454545455,1.66222570532915
"[4]114","{airborne=TRUE,backbone=TRUE}","=>","{hair=FALSE}",0.158415841584158,0.888888888888889,1.54789272030651
"[5]115","{backbone=TRUE,catsize=FALSE}","=>","{hair=FALSE}",0.306930693069307,0.775,1.34956896551724
"[1]52","{milk=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.514851485148515,0.945454545454545,1.64639498432602
"[2]46","{eggs=TRUE,domestic=FALSE}","=>","{hair=FALSE}",0.495049504950495,0.925925925925926,1.61238825031928
"[3]33","{toothed=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.316831683168317,0.888888888888889,1.54789272030651
"[4]27","{domestic=FALSE,catsize=FALSE}","=>","{hair=FALSE}",0.396039603960396,0.8,1.39310344827586
"[5]26","{tail=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.158415841584158,0.695652173913043,1.21139430284858
"[1]142","{milk=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.514851485148515,0.945454545454545,1.64639498432602
"[2]137","{eggs=TRUE,domestic=FALSE}","=>","{hair=FALSE}",0.495049504950495,0.925925925925926,1.61238825031928
"[3]121","{toothed=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.316831683168317,0.888888888888889,1.54789272030651
"[4]115","{domestic=FALSE,catsize=FALSE}","=>","{hair=FALSE}",0.396039603960396,0.8,1.39310344827586
"[5]116","{tail=FALSE,domestic=FALSE}","=>","{hair=FALSE}",0.158415841584158,0.695652173913043,1.21139430284858
